"Protein","tstat_source","tstat_target","pval_source","pval_target","flag_source","flag_target","source_target_agreement"
"RS30_HUMAN",0.256030815174015,1.60747295115084,0.798074951110283,0.111765666074296,0,0,1
"EIF3I_HUMAN",1.43852527275221,-0.100737877840112,0.151169390617218,0.919958333822585,0,0,1
"RL24_HUMAN",1.23279893160757,-0.115121859379402,0.218464370537852,0.908581310288721,0,0,1
"ARPC2_HUMAN",-0.672683639745771,-1.83572810631824,0.501592439473417,0.0691951003250268,0,0,1
"RUVB1_HUMAN",1.34451175662141,3.10419880430257,0.179642085058549,0.00244817137612191,0,1,0
"TEBP_HUMAN",-2.29576195181091,0.964054365790871,0.0222741990919828,0.337319243476427,-1,0,0
"PPGB_HUMAN",-3.34233988821176,3.5083049098356,0.000918955444466808,0.000612477559215268,-1,1,0
"KPYM_HUMAN",-0.562870621149706,0.846124013933009,0.573878313120334,0.39943232171925,0,0,1
"PRDX5_HUMAN",-1.70496906775368,1.42672324860887,0.0890739589872498,0.156781802901541,0,0,1
"PDIA1_HUMAN",1.66850390104959,-1.617302814883,0.0960964059967452,0.10907727902038,0,0,1
"ENPL_HUMAN",1.79691494742773,-2.96988725470163,0.0732106954765896,0.00372443403265325,0,-1,0
"LMAN2_HUMAN",2.33585881183926,-1.46637522662878,0.0200548313788288,0.145501565804301,1,0,0
"CATB_HUMAN",-2.63440472084576,4.32101580374233,0.00879765556476375,3.12202632783722e-05,-1,1,0
"ACTN4_HUMAN",-0.40178645147691,-0.0781301367472085,0.688082898790354,0.937881716806043,0,0,1
"ANXA1_HUMAN",1.37085598018373,-1.68435234610848,0.171283655327353,0.0944735278676442,0,0,1
"ALDOA_HUMAN",-1.21362504060496,0.332935896307597,0.225697656399533,0.739893954504126,0,0,1
"TMEDA_HUMAN",2.93073161292072,-0.767381941322746,0.00360092652833721,0.444585857071798,1,0,0
"MIF_HUMAN",-1.36621479116294,0.0947643310175075,0.172737634972648,0.924692487553541,0,0,1
"MYH9_HUMAN",2.68391884482007,-1.23039977388397,0.00761781454281598,0.221103427424484,1,0,0
"SET_HUMAN",-1.36324308538731,0.971351996907287,0.173667462152638,0.333960862537907,0,0,1
"CALR_HUMAN",0.710683834284551,-1.17400070887211,0.477745808522099,0.243325333883955,0,0,1
"RPN2_HUMAN",0.776075367200525,-0.572287763392457,0.438220404107556,0.568354123682706,0,0,1
"TMED9_HUMAN",1.89554949296075,-0.527438582448588,0.0588293811788388,0.599035549037157,0,0,1
"G3P_HUMAN",-0.548398611567574,0.292169283049818,0.583762080639792,0.770751853792941,0,0,1
"PRDX3_HUMAN",0.640536662324679,4.08568698518669,0.522235924014154,8.38560167371849e-05,0,1,0
"COPE_HUMAN",-1.08220204309673,0.125130951184191,0.279898198731992,0.900686182334517,0,0,1
"CISY_HUMAN",1.74293091974998,-0.267058087620765,0.0822122844574151,0.789953641256135,0,0,1
"PDIA3_HUMAN",1.78664741449171,-1.5846542795048,0.0748460476062744,0.116248761550597,0,0,1
"ECHM_HUMAN",-0.138873610649489,0.527882908917794,0.889628664746965,0.598755141718814,0,0,1
"RPN1_HUMAN",1.04281758806516,-1.34819394544535,0.297742357028372,0.180592186311848,0,0,1
"FLNB_HUMAN",-0.0612314447769353,0.256610916285521,0.951209248225635,0.798004893458067,0,0,1
"PRDX4_HUMAN",1.44435766633377,-0.68695996807273,0.149530702437409,0.493717981153187,0,0,1
"ITA2_HUMAN",0.810935731190437,-0.423337770550015,0.417945301131601,0.672980129284759,0,0,1
"SYWC_HUMAN",-0.577902302300408,2.56040996464059,0.563699093530191,0.0115490672332934,0,1,0
"SYVC_HUMAN",0.385349426645274,0.0221278922839956,0.700208695674732,0.982389548317309,0,0,1
"HS90A_HUMAN",-1.08908122612766,-0.379140952649608,0.276856853367219,0.705401051549526,0,0,1
"PSA6_HUMAN",-0.966132094078108,1.41498839686408,0.334634128736261,0.159805864272769,0,0,1
"6PGD_HUMAN",-1.80935416760847,0.448247354269726,0.0712474770854557,0.654893919143596,0,0,1
"SYEP_HUMAN",0.559658650088948,0.671289970977443,0.576064237388862,0.503528456847332,0,0,1
"TERA_HUMAN",-1.4975413247633,0.832172697603909,0.135138571517141,0.407084092688191,0,0,1
"THIO_HUMAN",-1.42165062364728,-0.0653404830689849,0.156003150812666,0.948043930785524,0,0,1
"CTNA1_HUMAN",-0.62278663183367,-0.709356110135251,0.533823511714768,0.479774977274126,0,0,1
"GRHPR_HUMAN",-1.82455223941894,0.812402696112347,0.0689153090944609,0.418420445000064,0,0,1
"HSP7C_HUMAN",-0.475936491564399,-0.644256704889101,0.634411574511831,0.520868581429952,0,0,1
"DDX3X_HUMAN",1.07319074836635,0.33978545135607,0.283912811359389,0.734735904054672,0,0,1
"COX5A_HUMAN",1.69541423697562,-0.616152277151447,0.090874422581526,0.539176584573004,0,0,1
"IF5A1_HUMAN",-1.92129684958337,-0.708423579185669,0.0555130819663348,0.48032356738634,0,0,1
"PGK1_HUMAN",-2.55325334232214,2.1144148586131,0.0110887183745781,0.0368508044757823,-1,1,0
"PDLI1_HUMAN",-1.02533620564595,0.875563762226545,0.30590493263687,0.383004908880296,0,0,1
"ANXA2_HUMAN",2.67309971794473,-1.31023888642813,0.00786386327077633,0.193172767470775,1,0,0
"S10AB_HUMAN",1.28793100345355,0.914388416549576,0.198609416071565,0.362974942664927,0,0,1
"RLA0_HUMAN",0.671410063224431,-0.400895712747646,0.502397457353717,0.689298319638827,0,0,1
"HS90B_HUMAN",-0.650535277083435,-1.08934240159855,0.515766180347547,0.278401797318877,0,0,1
"RS3A_HUMAN",1.49345756182386,-0.382187577041691,0.136209999184505,0.703145923334286,0,0,1
"ATPB_HUMAN",3.81192112527741,-0.515027517454896,0.000162484911839213,0.607693181041628,1,0,0
"TGM2_HUMAN",-0.558694488237444,4.7214046251946,0.576721590499118,6.03012773382071e-06,0,1,0
"DYHC1_HUMAN",0.952326633448056,-0.971302480820307,0.341577892535852,0.333473314542069,0,0,1
"COF1_HUMAN",-1.25199458671259,-0.0425818966078963,0.211394244028182,0.966120283271273,0,0,1
"AHNK_HUMAN",-0.4207775852902,-2.03862592398941,0.674172692759192,0.0439322961236795,0,-1,0
"K2C1_HUMAN",2.56261679537118,-0.517760096476714,0.010830048820602,0.605664534790008,1,0,0
"PSD12_HUMAN",2.04346835799864,-0.603825220462138,0.041743660315228,0.547362413949655,1,0,0
"GLU2B_HUMAN",0.707831892502686,1.50514826582299,0.479512886048338,0.135050073111114,0,0,1
"RS3_HUMAN",1.00582521388158,-2.0059649248382,0.315183558951057,0.0473621195932933,0,-1,0
"EF2_HUMAN",-1.55007885160413,-0.107339756051288,0.122053113936127,0.9147330149708,0,0,1
"CLIC1_HUMAN",-0.628569359296269,0.872900282806282,0.530034296822576,0.384517213788473,0,0,1
"SSBP_HUMAN",2.60603398079793,0.122032668146961,0.00955228179291619,0.903112817961935,1,0,0
"SORCN_HUMAN",-0.306782002041891,2.94434994858878,0.759189401521138,0.00395514937169899,0,1,0
"G6PD_HUMAN",-0.438740228627242,0.508083714937586,0.661115924165846,0.612513704107782,0,0,1
"HNRPC_HUMAN",2.21038210311992,1.06328632581672,0.027714203785063,0.290502001860444,1,0,0
"ROA1_HUMAN",0.209609758810679,0.283820488519362,0.834092301430497,0.77710024193479,0,0,1
"MAOM_HUMAN",0.222549184658111,1.51518830833946,0.824014045464417,0.133004732856836,0,0,1
"PCBP1_HUMAN",-0.16121707747007,1.07906457630863,0.872013903967942,0.283006656753465,0,0,1
"HNRPU_HUMAN",2.07236799078581,0.0316045359627329,0.0389512442236603,0.974847771809072,1,0,0
"ATPA_HUMAN",2.4371979510391,-0.840328600462719,0.0152935709277478,0.402746897646093,1,0,0
"CAP1_HUMAN",-1.26473970584253,-0.783926810040731,0.206794878622907,0.434931570636083,0,0,1
"AATM_HUMAN",-0.356917410984795,1.79439265071505,0.721365372572135,0.0757633318520278,0,0,1
"DHX9_HUMAN",0.994661090965472,-0.325217864479445,0.320576767473643,0.745715863487302,0,0,1
"ETFB_HUMAN",-0.176134609236948,-0.340552799470591,0.860288476857776,0.734210324738623,0,0,1
"2AAA_HUMAN",-1.10047050583071,-0.0359509537697778,0.271877967225189,0.971388340012569,0,0,1
"HNRPL_HUMAN",0.850782928585042,0.370468678402104,0.395462749425946,0.711834926521893,0,0,1
"IPO5_HUMAN",0.198415625345438,0.266224215056221,0.842833154352799,0.790650477043432,0,0,1
"EF1G_HUMAN",-0.117626905975679,-0.590700578518689,0.906431862346846,0.556068650536799,0,0,1
"KCY_HUMAN",-0.656816356263788,1.23202374438041,0.51172472725101,0.220779846593577,0,0,1
"CNDP2_HUMAN",-2.40650177912045,3.37122263163047,0.0166215971244771,0.00103637692747416,-1,1,0
"ROA2_HUMAN",0.690220946786944,-0.284909009398952,0.490505184993406,0.776280716160418,0,0,1
"RL11_HUMAN",1.24780534397168,-1.03288040674535,0.212923046857025,0.30381681287851,0,0,1
"ECHB_HUMAN",1.54528639795969,-0.648141726973145,0.123166169103927,0.518335726509802,0,0,1
"PTBP1_HUMAN",-0.564254072687334,0.585762375185193,0.572936546720357,0.559427152233527,0,0,1
"FAS_HUMAN",0.530677071628926,-1.51480957937543,0.59597374029389,0.132705606847389,0,0,1
"PSA5_HUMAN",-1.01774635297706,2.09792233907133,0.309490505131072,0.038474026114768,0,1,0
"TCPB_HUMAN",2.86169792026687,-0.0646631160204054,0.00446508792380175,0.948558900311189,1,0,0
"TCTP_HUMAN",-0.225155670417354,0.139550155962632,0.821990681811618,0.889289477484031,0,0,1
"UBA1_HUMAN",-1.9875415784155,1.10290537899694,0.0476303018587379,0.272698233271204,-1,0,0
"PRKDC_HUMAN",0.695535858679847,-1.24395715870748,0.487173537691329,0.216275091716556,0,0,1
"COPB2_HUMAN",1.42980372754977,-0.713754600646343,0.153650492806743,0.477031871131318,0,0,1
"RD23B_HUMAN",-1.43892012301961,0.81700612378207,0.151052001617898,0.41595358506271,0,0,1
"S10AA_HUMAN",1.39832986227023,-4.76496911020301,0.162889993506616,5.57974989784431e-06,0,-1,0
"IF4B_HUMAN",0.56219694661442,1.07012148830287,0.57433564819712,0.28715842814817,0,0,1
"DEST_HUMAN",-1.47282545022153,1.09992831521625,0.141687441472359,0.274095040820082,0,0,1
