"","response","2,5-pyrazinediol (NIST)","3-phosphoglycerate","4-guanidinobutyric acid","adenine","adenosine","carbonate ion","citric acid","D-fructose","D-glucose","DL-isoleucine","D-malic acid","D-ribose-5-phosphate","fumaric acid","gluconic acid","glycerol 3-phosphate","glycine","hypotaurine","inosine","L-(+) lactic acid","lactose","L-alanine","L-aspartic acid","L-cysteine","L-glutamic acid","L-glutamine","L-lysine","L-methionine","L-ornithine","L-phenylalanine","L-pyroglutamic acid","L-serine","L-threonine","L-tryptophan","L-tyrosine","L-valine","methyl phosphate (NIST)","myo-inositol","myristic acid","oleic acid","palmitic acid","pantothenic acid","phosphoric acid","putrescine","pyruvic acid","scyllo-inositol (NIST)","stearic acid","succinic acid","thymine","uracil","?-ketoglutaric acid","Unknown 01","Unknown 02","Unknown 03","Unknown 04","Unknown 05","Unknown 06","Unknown 07","Unknown 08","Unknown 09","Unknown 10","Unknown 11","Unknown 12","Unknown 13","Unknown 14","Unknown 15","Unknown 16","Unknown 17","Unknown 18","Unknown 19","Unknown 20","Unknown 21","Unknown 22","Unknown 23","Unknown 24","Unknown 25","Unknown 26","Unknown 27","Unknown 28","Unknown 29","Unknown 30"
"Mock_0hr_2",0,17.4919942014722,17.4715026227857,17.6122407515452,20.0335883864548,20.577192423553,23.4567208357948,21.1266366017018,18.8372805211251,23.3612517381183,20.217483091593,23.1149119165506,17.9517528835915,19.9055953105735,16.0355464424103,20.6651252887181,20.285681130191,19.0876755638812,18.4079525676904,23.5442959513887,16.6232356525921,21.4688452512351,20.5460989324257,19.0625452884562,22.8200469126587,21.1227761691363,18.3584494580807,18.0036800376027,19.2844176008125,19.1688273893679,24.3448651403474,21.0610095413522,21.1468004489538,21.0124255556981,19.1312923646711,20.4010368108499,17.9169257640868,23.5670430529336,24.0126891091837,18.2450694475462,21.8437612757738,15.1825750335913,26.4810810939511,18.4754403177487,17.2610103290462,18.4908515479906,22.2982354422184,20.4203341957268,15.0178734533877,19.5343878390453,20.0829339986802,18.9975191954215,21.5940447401252,17.81975926466,15.7884554417415,18.0439407355788,18.0869906699478,15.3350274020077,18.515244436965,19.792178733949,21.0009474604427,20.632081669503,16.4579286386112,17.1625708784722,19.2757275263837,18.6243332410883,18.5067711235902,17.9390162076708,17.8176944492539,19.1556405345598,18.3185870662292,18.9563442295201,17.9197533695571,16.6458433573215,17.4263571948695,17.1463300099307,16.025020882274,16.1064081239679,17.5985186414938,17.0698519123378,20.8564344955913
"Mock_0hr_3",0,17.5833632043578,18.7821204919456,18.2879706245452,19.7443687329938,20.3859486515385,23.8533236060761,21.3889465173956,19.0233864155224,23.5760977786023,20.3227684616565,23.346877644358,18.4042889953077,19.9887531088292,14.416690101795,20.957124010881,20.503706829093,19.2582036715824,19.7404663614873,23.5769682596882,17.5057962720245,21.6885119591705,20.8185638338158,19.3584817755282,23.1757695024801,21.5854263926723,18.4548092183295,18.367471303807,18.5885006998541,19.3930700077612,24.4495005545987,21.3331936375327,21.4017723946327,17.9796240780614,19.2795722374203,20.4701458376539,17.9037981421946,23.7779310078067,24.5325610274049,18.84307516762,22.2428427320812,15.3747028122357,26.5193226338211,18.5422594533572,17.6698414065721,18.5097335903359,22.5972291146441,20.6701886121164,14.8348857849425,19.1458093542392,20.4309098849229,19.903488666619,22.3063405612689,18.2929248635922,15.6825471195033,18.128622560091,18.126468403563,15.6702689707127,18.8449796127986,20.1572976224207,21.6551231493456,20.2009334891065,16.5085358267945,18.3398567120167,19.7179043504354,18.3036367956234,18.600455854505,18.1603873652022,18.1943282872849,19.5002111271379,18.3652091952689,19.1846011486827,18.1572245474379,16.807228763749,17.7089856998648,17.6570059569711,16.7791741087618,16.0548253466064,18.0020759773845,17.460554627853,22.5787826147492
"Mock_0hr_4",0,17.5521426469562,16.3086940323355,17.611126097042,20.0582810603706,18.6451658552881,21.6768586719281,20.8204759588968,19.3439859826066,22.2407501963,19.9318234089931,22.9613482741249,17.6816784395514,19.6822714506865,13.992389611288,20.5417553838464,20.212363590333,18.7584994797709,18.9843570238456,23.1960785738413,15.9080152500447,21.6339130866233,20.503788782512,18.4671356190118,22.7362126600681,20.5866856738859,18.0546294505517,17.765794364468,19.0243071275527,19.0195476042551,24.1946940078458,20.8522228167898,20.9593029800047,17.3780848314861,19.0237518784833,20.2321704488655,16.9824053997697,23.4868721993659,24.0070352739828,18.3815493483813,21.8597741335107,14.8600227752233,26.3004919085026,18.3642033106041,16.8003177588282,18.3103517106429,22.1021434158901,20.3072591080954,14.9076833767724,19.5981199171291,19.8641054189064,18.7574159612094,20.8882977557273,17.783774199112,15.7086613026587,17.9784235079372,19.091946382116,15.1395148093371,17.3589548041281,18.6764117600524,20.1462694136067,20.9136896587151,16.0390885656336,17.6707467307255,19.1628219026436,19.1895577841454,18.3129632074829,17.9718607380968,17.8155823619356,19.2114617995555,18.3067361164252,18.7605798992715,17.8011480799658,16.5193549974049,17.1892647574857,16.9753214946608,15.251554264719,14.8326894377307,17.3868264839918,16.6393063848782,20.9295224696234
"Mock_3hr_2",0,16.77392364305,16.976183071164,18.6100649765695,20.0642831000548,20.5651320226016,22.6582642339952,20.3686694765558,18.6950548353036,24.8764885091656,18.6443708431753,22.5114161923614,17.6282805489444,19.1918202886687,13.6455201258538,20.0435970951539,20.0258880035869,17.8804931595304,19.2445132276354,23.7027530283803,14.9070422101002,20.6406965101694,19.7382297945803,18.4807097476552,21.8249010882254,19.0216271083701,18.9337203716816,17.8556350077976,18.824615810546,19.0721334268545,23.6764149695826,19.9486899178557,20.3492487663882,16.2715766197998,18.9835406358526,19.3155460421093,18.0397620824463,22.5220447098925,23.1364288261195,18.3250654811358,20.9848003021782,14.7469746121733,25.6591671798905,18.8820787038946,16.786225689991,18.9923078851452,21.2258001754802,18.5605744433798,15.1997139670153,19.4538879752418,19.4346980301407,19.3897392386685,19.5677724025138,17.0610146098416,15.5346850119613,17.9287541367484,18.0479444294014,14.1438614818679,17.2663810706428,19.0418839288482,19.7251882078462,20.3968990998185,15.8380206509767,16.5957753012819,18.7728676637056,15.7464070988488,18.0821368609728,17.8605183934793,17.3645956367699,19.3476186500615,18.0997590225219,18.6787716555872,17.2941653219059,15.7486241556471,17.9923722229228,17.9040603297342,17.7089953185885,17.4967601738948,17.2513682818199,16.9152658579859,19.0895771298347
"Mock_3hr_3",0,16.6445753447309,16.9632983258988,17.5674718131269,19.8273987084115,20.684840081004,22.1672230943907,20.1768804608862,18.4206344032867,24.5460611295599,19.4822830150283,22.1180931958781,18.0172451071159,18.9449560547478,15.5078948756782,19.7815082788728,19.3720165064735,17.4928557378938,19.5805765135127,23.3297771849082,15.4007727241226,20.799314555934,19.6664226074903,18.8372666158183,21.4780554674215,19.3954988121543,18.6696061079152,17.4935921376027,19.6159110010438,18.7632183885154,23.4275134193649,19.9535955443213,20.2407632206194,17.0596064072058,18.6604571695014,19.9397751819253,17.7726717274223,22.2545569603292,23.4725930519914,18.5941917032437,21.2468705147438,13.7889862716932,25.8263061172853,17.822428746424,16.706344537293,18.9441322574938,21.6413697114016,19.95092376836,15.061243399713,19.5929985886451,18.9240875880357,19.0278508585732,20.7743627010003,17.6287364158162,15.472006277773,17.8408086513349,18.7365547269543,14.5892414977833,17.9380677996541,18.865407061965,19.5844379008288,19.7418518381374,15.9695837413178,16.2394584166128,18.8462981377925,17.0244001246531,17.6746411484315,17.6775810319705,17.2800519770806,19.090464394005,18.0057612804565,18.6765035538785,16.9693884483822,15.3759528543031,17.6280080985065,18.1486597162608,16.2318768801201,17.6738086977854,16.7365589736247,16.9973729386031,20.9657454194276
"Mock_3hr_4",0,16.1342102802381,17.8260701509462,16.6787753888903,18.1156253068421,19.2273540518637,23.2300118721184,19.6661417094431,17.564885674986,25.2091382240411,19.4472276251365,21.2214306319022,17.1140307433319,18.0431707398986,15.0421069365137,18.7775153011958,19.1077218564527,16.2719772465292,18.6617580205437,22.3415184510724,14.7562778231873,20.1288614770317,18.8483668692436,18.3564981494281,20.1537969621615,18.2850967590009,16.4533243813104,16.548313621807,18.7152355165405,17.9865918752265,22.8713851044829,19.546658837739,19.7079331155091,19.8770733261745,17.1355313565601,19.7018730463024,16.3760977656828,21.1478119762217,23.0462827988606,17.0184290282916,20.5625019472954,13.9580658659941,25.4438306348513,17.5407961665768,16.4999095145179,19.2206812957096,20.801107787417,19.4427221987965,14.3124150242935,17.9951660184515,18.5116220711416,19.6073044065274,18.43541517197,17.7413847837021,14.4997800563929,17.0503412326498,17.7160923660788,13.927193295702,18.3321008780696,19.8146895222498,18.5337564352983,18.3516461923287,15.9128345499118,15.4097555418409,18.2965874837858,16.7614436379019,16.71099356815,16.8746946130501,17.0851650674112,18.7536558822454,17.1694634072552,18.508793560794,16.2561170531381,14.7709528984634,18.3511801906819,24.0881191023984,17.9147501647866,17.8316873728374,15.7150610967883,17.116086023949,19.7576460201247
"Mock_7hr_1",0,19.028900738994,20.9686200708504,18.8783977123079,20.0818651198208,20.0993643958143,25.7573138600284,22.5784480238006,19.7132381989588,26.5599276975518,22.0025694211691,24.4616680796156,18.6917149957606,21.0409120483217,16.7684431816586,21.7542192818223,21.0544823971667,19.8949977524266,18.6786443461956,25.5604091144605,18.2887574395396,23.0160216337963,21.2647638416438,20.5893324772812,23.4003504497987,20.9042709689303,19.7975288179579,18.861051412946,20.0962899092855,20.9163768602521,25.1427720976781,22.0371937327932,22.5017898165444,19.5893580819374,20.546856304677,22.1350365873223,18.5470413678974,24.8516137408619,22.9428140968006,19.2320026021789,20.9284851848287,15.961734551516,25.4898297090944,20.8513688676805,20.5028025638884,20.5451734461151,20.8696863099164,21.1292798721159,14.9324494158596,18.6391511124562,21.2255216310552,20.6543040964065,21.2979842641023,17.7158373465694,15.6418944981466,18.2626906614564,20.2506596976589,15.9007462099615,20.589881653539,22.285669222143,21.6624937044412,21.2554830165575,18.0466855437009,15.9953841963751,20.417683898536,21.872889529434,19.015253717271,18.6184274967236,18.9943976363975,19.6733418105995,18.7706051815902,19.8265220649279,18.7361184754201,17.5508206359539,19.9840320424115,25.4112612017992,22.6485638960325,19.445076235832,18.3884012672628,17.8761390253586,19.7380948520268
"Mock_7hr_3",0,17.1357181596535,17.916587937731,17.3831362890741,18.0381942396886,20.0665354425951,21.9423594749021,20.6569681869473,16.1502289502555,22.1818322328048,18.5169044185242,22.2962308661161,17.330754603425,18.9118153636267,13.9346333879746,19.2281129364718,18.2897035983536,16.7479119816357,19.6898593671157,22.657320780123,15.7770732788027,16.2480202000633,18.6663077365124,17.8872636316952,20.7062332245897,18.5099884386227,16.9450889461192,16.0801007358943,16.5345603967695,17.4324605752322,22.9617425845615,19.4352848777318,19.5638969912338,17.5529617250554,17.2850196566608,18.5590995288504,16.652095508032,22.3223441583301,23.1823086080575,17.4485297905979,21.0206525835231,14.2491219205204,25.9729943805805,19.2812826529394,16.7508016109226,17.0659723294874,21.2102562114134,19.5028085005257,14.1405855893084,17.5558440943204,19.4023200517013,20.3494135399246,20.3220112726553,17.7294086960605,14.9141742118224,16.4666618933887,17.9280138445904,13.5871178211741,17.0626006218847,18.7118812602603,19.613513749885,18.0924561646173,15.9447996322529,15.8816302093119,19.3377803574427,16.5771042323471,17.6837955187368,16.834048433399,17.1351352427806,19.0617764235245,17.6443363371158,18.497147251659,17.093941560379,15.9203435500765,17.4769979306798,17.3689024892418,15.8552564365786,15.6007715212393,16.2400645852695,17.5109407325972,19.1845011832411
"Mock_7hr_5",0,16.7718357755895,16.4582111389126,16.9886625796542,19.571139026616,20.2640916302634,21.7685050153551,20.2684654389308,17.6989821053905,21.0833284697482,17.3471413329381,21.8807386510198,17.7034499955756,18.5594430314138,12.7191382038597,18.8302714091182,17.7971641022758,16.426296114925,19.302127741089,22.2558445237884,15.0976277257406,18.5575013103071,18.1502045116777,17.6055603331691,20.5378230557922,17.0046706741637,16.103079937559,15.8911306816044,16.6714672204077,17.3009696736634,22.5481643028926,18.9339743790305,19.1265247238557,16.0391559007006,16.5509751940162,18.0806725623815,16.1756909974402,21.8591901401439,23.1056654861841,17.9453729618774,20.9248317190612,13.8314401505135,25.8586510966712,18.8572578944872,16.1584459962539,16.6733343175346,21.1376026536457,18.5399752338917,14.9378952802452,19.3766032668842,18.9861938563906,19.4846816479723,19.798916128822,17.2443489680299,15.2425436018536,17.7168307504227,17.7865241657356,14.2355356067105,16.9424389048188,18.4919867104561,19.6594781232127,18.468993750576,15.5253993325943,16.4028517131293,18.5585130698067,16.3278087418213,16.7998027030144,16.7277822180207,16.8210058874113,19.0878352885892,17.6777737052228,18.128423198927,16.7759794753354,15.5173196376578,16.6020115656286,15.872929047041,15.2168844055798,15.5526893439361,16.2623801338221,16.7200835202141,18.7857824884079
"Mock_12hr_1",0,18.2729102648387,19.2738445662465,18.5838857301156,19.6712233453648,20.5003505832675,24.0643281916864,21.7585715118098,19.0743230786737,24.2267483720164,21.2027008781581,24.0573605830776,17.670913455175,20.8209135625843,16.1833523659197,21.2135739459239,20.8788978542464,19.518432964151,18.1981516217377,25.1525279054093,17.6261117320136,22.8856323850777,20.9282961466045,19.9335637967049,23.0387521006285,17.2654101990582,18.2979136948263,18.92803714992,20.2260496612229,20.1377279330235,24.8044222601865,21.6167551490097,21.918854899668,18.9297510305998,19.3888560621664,21.3625400855279,18.4413642910369,24.4389075376458,22.4312681889842,18.4575430300592,20.3700597794316,16.0971574001582,26.6402632602324,20.5585142439239,18.1720492476932,18.7249156685566,20.6465862318677,20.9187555294743,14.1791648973212,18.1578214427583,20.9940224891535,20.5640541434993,21.2748182288946,18.3647496306269,15.8142913399169,17.9020264587461,19.7290927013875,15.8762298315161,19.0123139319469,20.4950002449004,21.8334772817289,20.1790804574837,16.5003460693955,16.9186300123784,20.3125254692474,18.7319186402352,18.4380514340447,18.1285187119687,17.6153404174199,19.3660057604687,18.2057230335967,19.4148910019034,18.2439694071789,17.1357290368651,19.0965528805127,16.6486103685724,16.8520612792792,16.4144360833532,18.0541442880774,17.1874937480452,18.6049649634186
