"","response","2,5-pyrazinediol (NIST)","3-phosphoglycerate","4-guanidinobutyric acid","adenine","adenosine","carbonate ion","citric acid","D-fructose","D-glucose","DL-isoleucine","D-malic acid","D-ribose-5-phosphate","fumaric acid","gluconic acid","glycerol 3-phosphate","glycine","hypotaurine","inosine","L-(+) lactic acid","lactose","L-alanine","L-aspartic acid","L-cysteine","L-glutamic acid","L-glutamine","L-lysine","L-methionine","L-ornithine","L-phenylalanine","L-pyroglutamic acid","L-serine","L-threonine","L-tryptophan","L-tyrosine","L-valine","methyl phosphate (NIST)","myo-inositol","myristic acid","oleic acid","palmitic acid","pantothenic acid","phosphoric acid","putrescine","pyruvic acid","scyllo-inositol (NIST)","stearic acid","succinic acid","thymine","uracil","?-ketoglutaric acid","Unknown 01","Unknown 02","Unknown 03","Unknown 04","Unknown 05","Unknown 06","Unknown 07","Unknown 08","Unknown 09","Unknown 10","Unknown 11","Unknown 12","Unknown 13","Unknown 14","Unknown 15","Unknown 16","Unknown 17","Unknown 18","Unknown 19","Unknown 20","Unknown 21","Unknown 22","Unknown 23","Unknown 24","Unknown 25","Unknown 26","Unknown 27","Unknown 28","Unknown 29","Unknown 30"
"Mock_0hr_1",0,17.3623247270601,16.62996802209,17.5518873941943,20.0519854666662,20.5344119408,24.060649519793,20.8726736562335,19.5479770844292,23.6051865891983,20.3245820231852,22.9559810105093,17.9129107154156,19.835672342918,14.0968516062352,20.5585155256611,20.4436194388349,19.1541172408287,18.0680943264818,23.3511078383656,16.2450114667231,21.1594655050973,20.5838805636537,18.6763892286584,22.7767475868546,21.0393792894346,18.2921830811547,17.5268340694473,19.1314906120939,19.3220118077794,19.1935370480374,21.1202922714356,21.1929223732302,17.2197052273059,19.2091283071025,20.5207727545177,17.8479600415645,23.5302220359098,23.9743396044605,18.2350902625938,21.6773569435794,15.0416970368556,26.4983990771506,18.422371624566,17.8792806738137,18.3955543370344,21.7640048332475,20.5707673061231,14.8404674487069,19.6724434461627,20.0144746746476,18.0156920960857,21.5881763372615,18.1801859816036,15.8634755683972,18.0983966714578,18.1612194893982,15.2353432731939,18.7379508461527,20.1544498112199,20.7612171986887,21.3965785023691,15.2206342016,16.9806932997598,19.1366349330578,18.7807444315326,18.8457640129455,18.1822405355578,17.862425306918,19.4049845955603,18.4772784159374,19.0702987988871,17.8684365834312,16.5471140092094,17.2526997468615,17.949465073696,16.3172707722248,16.5909787791847,17.5614083554369,17.2121136438759,20.8055375514417
"Mock_0hr_5",0,17.8835430202363,19.7565490163536,18.8882721010241,19.4559862109466,21.0584278775789,23.3135012493696,21.6615989573213,19.1860069152729,23.5735803276118,20.2679557132276,23.5299022022459,18.4481592957354,20.0616923582426,14.5746678561459,21.1369589733249,20.2423125542737,19.5539957896813,19.9422162124925,23.7913309557094,17.9628984255628,21.6840905195127,20.8121733429308,19.6612697671364,23.2591166334196,19.7055412229059,18.2154929148998,18.4176573017188,20.5475313297908,19.4996482187017,24.620565554818,21.4071461678423,21.4881566751981,18.4759716548053,18.9693131190481,20.4222875823235,18.2140134578274,23.9296770874419,24.595741265187,19.2111656501309,22.2672831415403,15.6209463586321,25.3927352345799,18.8678501094661,17.0793755782786,18.6836640513726,22.6249273772508,20.7315209254167,14.6689957520532,18.6132282171758,20.6284005815977,20.6609867701328,22.4743352425173,18.521660682255,15.3200601176108,18.0157555554214,18.4971133837562,15.4254660111665,17.4209694011383,19.9884114418158,21.574744503996,19.046863494749,15.4665663103094,18.3990286006664,20.1835986580091,18.5181670650557,18.4367079408436,18.1796787923212,18.4528890627647,19.4560889735898,18.2848011256111,19.2900921505897,18.3072629516138,17.0127021608491,18.5210688824307,17.7404307378866,16.6222974074277,16.3498089211149,17.8408341112298,17.9225639956303,22.8720990560367
"Mock_3hr_1",0,16.2773102352342,17.8484554540769,16.7528704224063,19.6179237392116,20.248667913303,23.2578506995104,19.9613789560541,18.6898926060636,26.3013650732451,20.6705497086488,21.6550189130331,17.6868225212931,18.4049743825137,15.637977586465,19.5278012360058,20.0518714399696,17.3318476649439,19.0019551492224,23.5330163634684,15.0705366780892,21.6056656344535,19.4728911027099,19.2976015101426,21.4280729929355,20.3590961919267,19.4565306613813,18.1006308099886,20.1925119572291,19.4286205426821,23.459983283525,20.5437970593927,20.8743855204186,17.1978649969481,19.1879989575159,20.913153467171,17.0070269536265,22.0063751964342,22.6026479645249,17.8328197450878,20.3824005183832,14.7289089913932,25.4099008635142,18.2181433062886,15.9548863581935,20.3737081697617,20.5661978131641,20.1002788874096,14.5933094144481,18.9426238080962,19.1335646179011,19.1475771000456,20.359444377527,17.6892402606991,15.0627725559692,17.7566974129458,19.0547237684468,14.1886153365964,18.282883903672,19.6075381733351,19.6271431511147,19.8862548393895,15.5255758634015,15.7346015169688,18.4970958924826,17.586091680384,17.8674857689459,17.5382341929281,17.0643196435012,19.0639528080031,17.9212296142807,18.4718543610537,16.645732404374,14.994355962457,18.6184866965795,25.1503353720711,17.3178211502091,19.1632783951177,16.8615885625059,16.9607350433245,18.5900384293437
"Mock_3hr_5",0,16.0102708334379,14.6624331413128,16.0400560543109,19.8051709856019,19.0085167086948,21.8129194139642,19.4043937842385,17.9045825451616,24.2209391142869,19.3386872068626,21.2673806840245,16.835913644495,18.3286421230139,15.2730082793649,18.7438734325529,19.0306905340023,18.394560065787,17.9017312469594,22.8037228256091,15.2880076608695,20.8308297533384,18.6985714042617,17.9270677669656,20.6071151984787,17.5275485663214,18.1519963165422,16.8322323860945,19.0454474990973,18.1672796664344,22.873125619929,19.7316276260244,19.7961201141193,15.8878849260641,17.9228498334159,19.6205200864216,16.9362330442966,21.4318910816027,22.8653861698125,17.794468267554,20.6155856367994,13.9735282549232,25.5790224876559,18.2837063064112,15.5064900052107,17.3833863251033,20.8869130045711,19.2669062515774,15.193020363899,19.6259786709626,18.2563696948118,18.4134748151031,19.6223912290553,17.2237350862908,15.0206104400761,17.763229042432,18.6405918435016,14.9606510196201,17.0141581210451,18.45374889123,17.6488514779547,20.04925289878,15.4429842116365,15.7391160577077,18.1114116695239,16.7252163630524,16.9958005839059,17.1170716816943,16.9202438465859,18.8685748113866,17.896943050527,18.3913144438504,16.2971614203634,14.5979743796005,17.3164012465994,17.882285155544,15.1859859744584,17.3432038123624,15.396182353447,16.7195106755546,18.3131417968289
"Mock_7hr_2",0,17.6793956624001,18.8639291368719,17.4997122208126,19.8185288614723,20.1761142110991,24.6268794737509,21.370649235074,18.325189865922,24.7871608445647,20.4524916195503,23.2285998653001,18.2049588928437,19.8564390767773,15.1781779724807,20.5982459130434,20.0384863883292,18.6848338208503,18.296552277031,24.0857045640101,16.5065223256358,22.489007019023,20.140175471956,19.391631028591,22.1067342963085,20.9090594813003,18.7033447391622,17.7020648685917,18.7272655177731,19.4763879150997,23.9279667267048,20.7986460956032,21.1245720040912,17.9596426750836,19.3729923730038,20.6940434512321,17.6943555547846,23.4561959949414,22.6822076821291,18.3145939913422,20.57998126075,15.4189406039619,25.6775741259093,20.0655021994738,18.0255296854356,18.7598881832218,20.7598960295513,20.2971487510808,14.8280897198414,19.2927753953183,19.9526010217942,19.322470538118,21.5560813765989,18.4717813445365,15.8476921757843,18.1201680011848,18.0798540891316,15.596223040613,19.4504239935507,21.0070582099347,21.3306799143668,20.2476738854614,16.021823975121,15.8059208878816,18.8173120424705,18.5382149192936,18.2455974026309,17.7592374762729,17.2528792239029,19.3971198656916,18.2973778032344,19.076406143187,17.7623968700967,16.5447359327563,18.0165922376975,18.1449691445813,16.8518501077682,17.4107674314607,17.4575187545226,16.8853841813804,19.8081369629455
"Mock_7hr_4",0,17.4910795693891,16.3567000422657,16.6682795669842,20.1074748153619,20.3999056036532,22.7810016107615,20.726573222899,18.3418947862039,21.7065828104995,18.5065051694272,22.7321944447167,17.6569674639236,19.4236605379147,14.4262422871206,19.797495616516,18.7912752859176,17.6606772096066,19.0729275886481,22.9415346745811,14.7241955943022,20.7720247130729,19.6167824505032,17.919264222099,21.3775484259642,18.453957712905,17.3310168842596,16.7669450297944,18.5128135295596,18.1945693118809,23.4903396736495,19.7248891730602,20.0017547665681,16.788037703721,18.108585273762,19.1442219285365,17.1946862364569,22.6259217646882,22.8682976965849,18.4776550594874,20.9755305401235,14.5333332088365,26.321853167496,19.4265505983449,16.1232220790479,17.2702676861124,21.1935631212898,19.3702765409115,15.2160258464711,19.5930224084063,19.403787993062,18.7481420165635,20.2495019473324,17.677123035214,15.8260078860503,18.1269628225156,17.8919870762572,15.0131269806796,18.0803284526516,19.192687384951,20.2356111311327,19.9585238295235,15.9207243552908,17.0514189581789,18.8142709515712,17.1097207812788,17.605118584297,17.3972539507191,17.0069211715863,19.0141968910526,17.8013285476177,18.7239365766898,17.2740491947811,16.1355839036444,17.0995952561364,20.3190594282067,14.8425117000465,15.7642164655953,17.0341255817895,16.866997711906,20.4647555507926
"Mock_12hr_2",0,18.88695713526,17.5956546043397,17.6005092634393,20.3795834897088,19.7583230090812,21.7364930065456,21.485566793129,19.0079302489502,24.5144519890225,20.6357386645339,24.1081094963891,17.8148887288534,20.9466483539337,16.1955595083543,21.4334578486735,21.1184982858238,19.9053930493878,17.9166037647679,25.3163985826362,16.2510321849796,22.4345885259393,20.9189311843882,19.1695674952003,22.9836897481312,21.3991498253266,19.7135457470583,18.0667729926899,20.3540999218655,20.4338075333149,24.8775382477604,20.8384179886745,21.6852571564,16.7557016661216,20.7678407647036,21.3975949887149,18.2094830118164,24.4820002393923,22.930511536829,18.6148671537327,20.798110150145,16.103830473419,25.6593363062624,20.7413615986814,16.764429928136,19.0026382178373,21.1757294371294,21.1078783742484,14.99928909416,19.704565147366,20.4559826570458,18.2261602989421,21.5289002533607,17.9104500012926,16.4719641054673,18.1791133726714,18.2317202141221,15.9696486187622,17.6379071141025,19.0158225885669,21.5142094595585,21.779151992731,16.2444100282378,15.7572076815314,19.7329557202815,17.9846335001778,19.0797628130244,18.6885967913282,17.5985178106126,19.2773051753192,18.7645549854231,19.6664033871373,18.2567882526883,17.2065426409693,17.9524360826609,23.1101623362703,16.5384682720902,17.2191225930187,18.2534380979141,17.1806540086521,19.4100565681293
"Mock_12hr_5",0,18.0063985610397,18.5077632330156,17.6707089980745,20.0874094154086,19.3823808552328,23.4126957491464,21.2222544241129,19.2244880703906,23.2460822080905,20.7390998546045,23.7173201522076,17.8216821735042,20.252156462631,15.7236045736366,21.1316800415372,20.5539162638917,19.1838055931943,18.916403665893,24.7369049196469,16.5156853204147,22.7007748692677,20.4131926562448,19.0789296064667,22.617661136783,20.845556883996,18.9432632602965,18.5342379538646,19.4478069205048,19.8032936890236,24.3428443526882,21.1739852624574,21.4654582506385,18.0268542343725,19.9843061569483,21.0207545741047,17.1208297354275,23.9478848700481,22.1419767878239,18.1604744540119,20.0331358581632,15.6986372366166,26.5455565859393,20.2834162901079,16.4496249429285,18.348870023389,20.4100552066997,20.6445975237436,14.6031693046243,19.432326343097,20.2053726195462,18.9033484477048,21.2411650950345,17.9233249978917,16.08423300736,18.2182915862319,17.9172813288946,15.763894805635,18.4891477443738,19.8297516201266,21.9409457092661,20.5155474486903,15.3774303656512,15.3727649989144,19.2116574109384,18.2405083967473,18.2175237977902,18.1160883450825,14.6923181527452,19.1103186441205,18.57414451583,19.0275699696113,17.8232421190679,16.6793014009813,17.5447637427513,17.3579495783919,16.4760215106309,15.8624180422363,17.8929142636298,17.2844061107661,18.648889686234
"Mock_18hr_1",0,17.8083860562816,17.6074219654681,17.379542998852,20.1418952282066,20.3063366667252,22.9813635051838,20.8583550510744,19.0365629864939,22.1365575323541,20.1099814974789,23.1081214799077,18.0389307745678,19.7300781605325,14.9380856905888,20.6858228685625,20.0396458615187,18.3169729098133,19.043698659482,23.9506683068831,15.7085866386253,22.0372630048207,19.8589105228876,18.6676636013316,22.1621343982368,19.805373399949,18.2181211373574,17.7190119240578,19.0897786071085,19.1355387432092,23.9501123505533,20.4301708937909,20.8157189131067,20.00404983885,19.3614979770355,20.4044304353539,16.9151771425734,23.2442774097373,22.6640855754113,16.8213170184008,20.6145536726079,15.2834253341306,26.300073380091,18.3643679734891,16.2065373481363,17.7541963133223,20.7991042859991,18.5087913506882,15.0626665677061,19.5019505573502,19.4442424251097,18.7749116756109,21.2801229076659,17.8043973736072,16.0236510276974,18.1185525283249,17.9679026529278,14.7918576664963,18.3237170199204,19.5127683452804,21.0859642566627,20.0653767262067,15.7785223281011,15.4853576393477,18.6976046560699,17.7269557504572,18.0903497866504,17.6831861439337,17.0772183766753,19.1690206155423,18.0246029516229,18.9493331615521,17.5985535337083,16.4531314331425,17.6195989554029,16.7575693375703,15.617897048208,12.0676840400144,17.3999134986975,17.2522617826038,18.8271010284174
"Mock_18hr_4",0,18.5272497561346,16.5352640924582,17.4088599626321,20.1818764345258,19.2332455757391,21.3319112688403,21.1066183815969,19.0621715251308,20.5001489263729,20.2218576790916,23.8196898063769,17.780764200996,20.3299343582542,15.5152677605168,21.2274152143104,19.9856775775412,18.0406286846737,18.2274588140949,24.0451529398646,15.7884372343766,21.8952021315145,20.5674295512841,18.513155559779,22.9304055356972,20.2953713059414,18.7779932267357,17.4668986126556,20.0189642547822,19.3270646922022,24.4411187227351,20.6535200536115,21.1638008041528,17.7595154043956,20.071239714544,20.5784407187563,17.0892533188398,23.6986000236146,22.6610108917799,18.3100223566598,20.4129746900376,15.8317907382971,26.4233114541304,18.6973113396899,16.5396460419055,18.2406928565743,20.6513103634083,20.348790231213,15.0831409332782,19.4219344929371,20.0361808971253,18.3478498363006,21.4121777403581,17.8521522198752,16.3895886092726,18.8340561074742,18.034853452103,16.3839163925694,17.6826300012599,18.4401182250719,21.4033558491498,20.9046740558578,15.941114986196,15.5275948170687,19.1216136612691,19.4753576425325,18.4660123727301,18.2828179879098,17.0876152648936,19.1926780293732,18.3002898638342,19.2966849052594,18.3208835090398,17.2086929678355,17.4240762865545,19.1191659261775,15.741605422549,14.8752076771708,17.9742476430494,16.946961413642,18.5837118905931
